Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,Race,Race Code,age_midpoint
Other opioids,T40.2,2007.0,2007.0,Male,M,55-59 years,55-59,13.0,178321.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2008.0,2008.0,Female,F,45-49 years,45-49,10.0,247881.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2008.0,2008.0,Male,M,25-29 years,25-29,11.0,293406.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2008.0,2008.0,Male,M,35-39 years,35-39,14.0,280887.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2008.0,2008.0,Male,M,40-44 years,40-44,15.0,270440.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2008.0,2008.0,Male,M,45-49 years,45-49,24.0,257051.0,9.3,4.0,White,2106-3,47.0
Other opioids,T40.2,2008.0,2008.0,Male,M,60-64 years ,60-64,10.0,140667.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2009.0,2009.0,Female,F,45-49 years,45-49,14.0,250167.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2009.0,2009.0,Female,F,50-54 years,50-54,10.0,230626.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2009.0,2009.0,Male,M,30-34 years,30-34,12.0,269645.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2009.0,2009.0,Male,M,35-39 years,35-39,11.0,274523.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2009.0,2009.0,Male,M,40-44 years,40-44,20.0,268198.0,7.5,4.0,White,2106-3,42.0
Other opioids,T40.2,2009.0,2009.0,Male,M,45-49 years,45-49,20.0,258924.0,7.7,4.0,White,2106-3,47.0
Other opioids,T40.2,2009.0,2009.0,Male,M,50-54 years,50-54,25.0,229816.0,10.9,4.0,White,2106-3,52.0
Other opioids,T40.2,2009.0,2009.0,Male,M,60-64 years ,60-64,11.0,146919.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2010.0,2010.0,Male,M,20-24 years,20-24,11.0,284858.0,Unreliable,4.0,White,2106-3,22.0
Other opioids,T40.2,2010.0,2010.0,Male,M,25-29 years,25-29,11.0,288990.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2010.0,2010.0,Male,M,30-34 years,30-34,11.0,270726.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2010.0,2010.0,Male,M,40-44 years,40-44,15.0,268899.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2010.0,2010.0,Male,M,45-49 years,45-49,20.0,257382.0,7.8,4.0,White,2106-3,47.0
Other opioids,T40.2,2010.0,2010.0,Male,M,50-54 years,50-54,15.0,233785.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2010.0,2010.0,Male,M,55-59 years,55-59,19.0,194344.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2011.0,2011.0,Male,M,25-29 years,25-29,17.0,293256.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2011.0,2011.0,Male,M,30-34 years,30-34,17.0,275359.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2011.0,2011.0,Male,M,40-44 years,40-44,11.0,271694.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2011.0,2011.0,Male,M,45-49 years,45-49,19.0,256014.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2011.0,2011.0,Male,M,50-54 years,50-54,15.0,238167.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2011.0,2011.0,Male,M,55-59 years,55-59,14.0,201115.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2012.0,2012.0,Male,M,35-39 years,35-39,11.0,258790.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2012.0,2012.0,Male,M,40-44 years,40-44,10.0,270561.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2012.0,2012.0,Male,M,45-49 years,45-49,11.0,255034.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2012.0,2012.0,Male,M,50-54 years,50-54,11.0,240363.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2012.0,2012.0,Male,M,55-59 years,55-59,14.0,206796.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2013.0,2013.0,Male,M,20-24 years,20-24,12.0,293986.0,Unreliable,4.0,White,2106-3,22.0
Other opioids,T40.2,2013.0,2013.0,Male,M,25-29 years,25-29,15.0,301538.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2013.0,2013.0,Male,M,30-34 years,30-34,18.0,282554.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2013.0,2013.0,Male,M,35-39 years,35-39,13.0,258752.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2013.0,2013.0,Male,M,40-44 years,40-44,12.0,266829.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2013.0,2013.0,Male,M,45-49 years,45-49,17.0,256074.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2013.0,2013.0,Male,M,50-54 years,50-54,14.0,243365.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2013.0,2013.0,Male,M,55-59 years,55-59,16.0,212307.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2014.0,2014.0,Female,F,50-54 years,50-54,11.0,243121.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2014.0,2014.0,Male,M,30-34 years,30-34,11.0,284461.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2014.0,2014.0,Male,M,35-39 years,35-39,11.0,259443.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2014.0,2014.0,Male,M,45-49 years,45-49,15.0,258053.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2014.0,2014.0,Male,M,50-54 years,50-54,12.0,247830.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2014.0,2014.0,Male,M,55-59 years,55-59,17.0,218041.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2014.0,2014.0,Male,M,60-64 years ,60-64,11.0,173637.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2015.0,2015.0,Female,F,50-54 years,50-54,10.0,242504.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2015.0,2015.0,Male,M,20-24 years,20-24,10.0,284711.0,Unreliable,4.0,White,2106-3,22.0
Other opioids,T40.2,2015.0,2015.0,Male,M,25-29 years,25-29,12.0,311526.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2015.0,2015.0,Male,M,35-39 years,35-39,11.0,262404.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2015.0,2015.0,Male,M,40-44 years,40-44,19.0,257790.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2015.0,2015.0,Male,M,50-54 years,50-54,13.0,247958.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2015.0,2015.0,Male,M,60-64 years ,60-64,16.0,180794.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2016.0,2016.0,Male,M,20-24 years,20-24,15.0,276571.0,Unreliable,4.0,White,2106-3,22.0
Other opioids,T40.2,2016.0,2016.0,Male,M,25-29 years,25-29,18.0,314567.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2016.0,2016.0,Male,M,30-34 years,30-34,14.0,286041.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2016.0,2016.0,Male,M,35-39 years,35-39,12.0,263195.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2016.0,2016.0,Male,M,40-44 years,40-44,12.0,249219.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2016.0,2016.0,Male,M,45-49 years,45-49,12.0,259829.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2016.0,2016.0,Male,M,50-54 years,50-54,16.0,245395.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2016.0,2016.0,Male,M,55-59 years,55-59,12.0,224376.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2016.0,2016.0,Male,M,60-64 years ,60-64,12.0,184511.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2017.0,2017.0,Female,F,50-54 years,50-54,10.0,236714.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2017.0,2017.0,Female,F,55-59 years,55-59,11.0,226491.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2017.0,2017.0,Male,M,25-29 years,25-29,19.0,318604.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2017.0,2017.0,Male,M,30-34 years,30-34,16.0,291921.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2017.0,2017.0,Male,M,35-39 years,35-39,12.0,266624.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2017.0,2017.0,Male,M,40-44 years,40-44,11.0,246687.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2017.0,2017.0,Male,M,50-54 years,50-54,13.0,243937.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2017.0,2017.0,Male,M,60-64 years ,60-64,10.0,189386.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2018.0,2018.0,Male,M,20-24 years,20-24,10.0,260515.0,Unreliable,4.0,White,2106-3,22.0
Other opioids,T40.2,2018.0,2018.0,Male,M,25-29 years,25-29,17.0,316043.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2018.0,2018.0,Male,M,30-34 years,30-34,11.0,293688.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2018.0,2018.0,Male,M,45-49 years,45-49,11.0,251584.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2018.0,2018.0,Male,M,50-54 years,50-54,13.0,240878.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2018.0,2018.0,Male,M,55-59 years,55-59,15.0,225961.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2018.0,2018.0,Male,M,60-64 years ,60-64,14.0,191818.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2019.0,2019.0,Male,M,20-24 years,20-24,14.0,252380.0,Unreliable,4.0,White,2106-3,22.0
Other opioids,T40.2,2019.0,2019.0,Male,M,25-29 years,25-29,14.0,310865.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2019.0,2019.0,Male,M,30-34 years,30-34,15.0,296541.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2019.0,2019.0,Male,M,35-39 years,35-39,12.0,267367.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2019.0,2019.0,Male,M,40-44 years,40-44,14.0,241097.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2019.0,2019.0,Male,M,45-49 years,45-49,10.0,244113.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2019.0,2019.0,Male,M,55-59 years,55-59,10.0,226077.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2019.0,2019.0,Male,M,60-64 years ,60-64,11.0,193432.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,2020.0,2020.0,Male,M,25-29 years,25-29,13.0,300645.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2020.0,2020.0,Male,M,30-34 years,30-34,12.0,300418.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2020.0,2020.0,Male,M,40-44 years,40-44,10.0,240499.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2020.0,2020.0,Male,M,45-49 years,45-49,10.0,235955.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2020.0,2020.0,Male,M,55-59 years,55-59,10.0,223598.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2020.0,2020.0,Male,M,60-64 years ,60-64,10.0,195537.0,Unreliable,4.0,White,2106-3,62.0
Other synthetic narcotics,T40.4,2016.0,2016.0,Male,M,20-24 years,20-24,12.0,276571.0,Unreliable,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2016.0,2016.0,Male,M,30-34 years,30-34,11.0,286041.0,Unreliable,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2017.0,2017.0,Male,M,20-24 years,20-24,10.0,269316.0,Unreliable,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2017.0,2017.0,Male,M,25-29 years,25-29,26.0,318604.0,8.2,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2017.0,2017.0,Male,M,30-34 years,30-34,15.0,291921.0,Unreliable,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2017.0,2017.0,Male,M,35-39 years,35-39,13.0,266624.0,Unreliable,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,20-24 years,20-24,11.0,260515.0,Unreliable,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,25-29 years,25-29,40.0,316043.0,12.7,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,30-34 years,30-34,32.0,293688.0,10.9,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,35-39 years,35-39,22.0,267501.0,8.2,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,40-44 years,40-44,18.0,243588.0,Unreliable,4.0,White,2106-3,42.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,45-49 years,45-49,11.0,251584.0,Unreliable,4.0,White,2106-3,47.0
Other synthetic narcotics,T40.4,2018.0,2018.0,Male,M,50-54 years,50-54,10.0,240878.0,Unreliable,4.0,White,2106-3,52.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Female,F,20-24 years,20-24,11.0,249200.0,Unreliable,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Female,F,25-29 years,25-29,11.0,297858.0,Unreliable,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Female,F,30-34 years,30-34,16.0,272877.0,Unreliable,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,15-19 years,15-19,16.0,235005.0,Unreliable,4.0,White,2106-3,17.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,20-24 years,20-24,48.0,252380.0,19.0,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,25-29 years,25-29,52.0,310865.0,16.7,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,30-34 years,30-34,49.0,296541.0,16.5,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,35-39 years,35-39,35.0,267367.0,13.1,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,40-44 years,40-44,24.0,241097.0,10.0,4.0,White,2106-3,42.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,45-49 years,45-49,19.0,244113.0,Unreliable,4.0,White,2106-3,47.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,50-54 years,50-54,18.0,238062.0,Unreliable,4.0,White,2106-3,52.0
Other synthetic narcotics,T40.4,2019.0,2019.0,Male,M,55-59 years,55-59,14.0,226077.0,Unreliable,4.0,White,2106-3,57.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,15-19 years,15-19,14.0,222950.0,Unreliable,4.0,White,2106-3,17.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,20-24 years,20-24,26.0,242434.0,10.7,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,25-29 years,25-29,19.0,289906.0,Unreliable,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,30-34 years,30-34,21.0,277834.0,7.6,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,35-39 years,35-39,14.0,246373.0,Unreliable,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,45-49 years,45-49,17.0,229733.0,Unreliable,4.0,White,2106-3,47.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Female,F,50-54 years,50-54,12.0,228637.0,Unreliable,4.0,White,2106-3,52.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,25-29 years,25-29,11.0,61597.0,Unreliable,4.0,Asian or Pacific Islander,A-PI,27.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,20-24 years,20-24,16.0,32194.0,Unreliable,4.0,Black or African American,2054-5,22.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,25-29 years,25-29,18.0,43083.0,Unreliable,4.0,Black or African American,2054-5,27.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,30-34 years,30-34,15.0,41022.0,Unreliable,4.0,Black or African American,2054-5,32.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,35-39 years,35-39,14.0,31488.0,Unreliable,4.0,Black or African American,2054-5,37.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,40-44 years,40-44,12.0,28056.0,Unreliable,4.0,Black or African American,2054-5,42.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,15-19 years,15-19,43.0,230813.0,18.6,4.0,White,2106-3,17.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,20-24 years,20-24,78.0,245455.0,31.8,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,25-29 years,25-29,127.0,300645.0,42.2,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,30-34 years,30-34,111.0,300418.0,36.9,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,35-39 years,35-39,76.0,264966.0,28.7,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,40-44 years,40-44,49.0,240499.0,20.4,4.0,White,2106-3,42.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,45-49 years,45-49,53.0,235955.0,22.5,4.0,White,2106-3,47.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,50-54 years,50-54,49.0,237310.0,20.6,4.0,White,2106-3,52.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,55-59 years,55-59,37.0,223598.0,16.5,4.0,White,2106-3,57.0
Other synthetic narcotics,T40.4,2020.0,2020.0,Male,M,60-64 years ,60-64,23.0,195537.0,11.8,4.0,White,2106-3,62.0
Other and unspecified narcotics,T40.6,2002.0,2002.0,Male,M,50-54 years,50-54,10.0,196969.0,Unreliable,4.0,White,2106-3,52.0
