Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Race,Race Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,age_midpoint,LifeYearsLostUnit,LifeYearsLostTotal
Methadone,T40.3,2011,2011,Female,F,American Indian or Alaska Native,1002-5,25-29 years,25-29,5,48438,10.32247409059,1,27,55.0931361669851,275.465680834925
Methadone,T40.3,2011,2011,Female,F,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,45629,10.9579434131802,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2011,2011,Female,F,American Indian or Alaska Native,1002-5,50-54 years,50-54,5,44300,11.2866817155756,1,52,31.6580081521774,158.290040760887
Methadone,T40.3,2011,2011,Female,F,American Indian or Alaska Native,1002-5,55-59 years,55-59,5,37062,13.4909071285953,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2011,2011,Female,F,Asian or Pacific Islander,A-PI,45-49 years,45-49,5,38874,12.862067191439,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,20-24 years,20-24,5,421035,1.18754972864489,1,22,59.9352050495816,299.676025247908
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,25-29 years,25-29,5,344001,1.45348414684841,1,27,55.0931361669851,275.465680834925
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,30-34 years,30-34,5,329917,1.51553269458682,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,35-39 years,35-39,5,305153,1.63852231503541,1,37,45.5381516293446,227.690758146723
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,40-44 years,40-44,5,324758,1.53960795423054,1,42,40.8365263221732,204.182631610866
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,45-49 years,45-49,5,352650,1.41783638168155,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,50-54 years,50-54,5,364121,1.37316990780537,1,52,31.6580081521774,158.290040760887
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,55-59 years,55-59,5,324325,1.5416634548678,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,60-64 years,60-64,5,265677,1.88198451503141,1,62,23.0873624933524,115.436812466762
Methadone,T40.3,2011,2011,Female,F,Black or African American,2054-5,65-69 years,65-69,5,183495,2.72486988746287,1,67,19.0472321072889,95.2361605364446
Methadone,T40.3,2011,2011,Female,F,White,2106-3,15-19 years,15-19,5,1597587,0.312972000898856,1,17,64.8199054204098,324.099527102049
Methadone,T40.3,2011,2011,Female,F,White,2106-3,25-29 years,25-29,40,1459794,2.740113,1,27,55.0931361669851,2203.7254466794
Methadone,T40.3,2011,2011,Female,F,White,2106-3,30-34 years,30-34,39,1442767,2.703139,1,32,50.2919366531769,1961.3855294739
Methadone,T40.3,2011,2011,Female,F,White,2106-3,35-39 years,35-39,43,1423466,3.020796,1,37,45.5381516293446,1958.14052006182
Methadone,T40.3,2011,2011,Female,F,White,2106-3,40-44 years,40-44,58,1535126,3.778191,1,42,40.8365263221732,2368.51852668605
Methadone,T40.3,2011,2011,Female,F,White,2106-3,45-49 years,45-49,66,1680239,3.928013,1,47,36.1899978913884,2388.53986083164
Methadone,T40.3,2011,2011,Female,F,White,2106-3,50-54 years,50-54,52,1786576,2.910595,1,52,31.6580081521774,1646.21642391322
Methadone,T40.3,2011,2011,Female,F,White,2106-3,55-59 years,55-59,37,1700554,2.175762,1,57,27.2793120597075,1009.33454620918
Methadone,T40.3,2011,2011,Female,F,White,2106-3,60-64 years,60-64,5,1598935,0.312708146359921,1,62,23.0873624933524,115.436812466762
Methadone,T40.3,2011,2011,Female,F,White,2106-3,65-69 years,65-69,5,1263218,0.395814499160082,1,67,19.0472321072889,95.2361605364446
Methadone,T40.3,2011,2011,Female,F,White,2106-3,70-74 years,70-74,5,1008381,0.495844328681322,1,72,15.1930969969904,75.9654849849522
Methadone,T40.3,2011,2011,Female,F,White,2106-3,75-79 years,75-79,5,801319,0.62397122743876,1,77,11.6545398511616,58.2726992558082
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,15-19 years,15-19,5,65786,7.6004013011887,1,17,59.906118084933,299.530590424665
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,25-29 years,25-29,5,51032,9.79777394575952,1,27,50.5686570810089,252.843285405045
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,46808,10.681934712015,1,32,45.9927274726265,229.963637363133
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,42620,11.731581417175,1,42,36.9334609258006,184.667304629003
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,44698,11.1861828269721,1,47,32.4736866990161,162.36843349508
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,50-54 years,50-54,5,41946,11.9200877318457,1,52,28.1587713717446,140.793856858723
Methadone,T40.3,2011,2011,Male,M,American Indian or Alaska Native,1002-5,60-64 years,60-64,5,27871,17.9397940511643,1,62,20.2400880199447,101.200440099724
Methadone,T40.3,2011,2011,Male,M,Asian or Pacific Islander,A-PI,20-24 years,20-24,5,56795,8.80359186548112,1,22,55.1913987984765,275.956993992383
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,5-9 years,5-9,5,385810,1.29597470257381,1,7,69.7745635778347,348.872817889174
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,20-24 years,20-24,5,440324,1.13552747522279,1,22,55.1913987984765,275.956993992383
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,25-29 years,25-29,5,354623,1.40994802931564,1,27,50.5686570810089,252.843285405045
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,30-34 years,30-34,5,329362,1.51808648235073,1,32,45.9927274726265,229.963637363133
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,35-39 years,35-39,5,297074,1.68308232965524,1,37,41.4408819963671,207.204409981836
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,40-44 years,40-44,5,306585,1.63086909013813,1,42,36.9334609258006,184.667304629003
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,45-49 years,45-49,5,330014,1.51508723872321,1,47,32.4736866990161,162.36843349508
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,50-54 years,50-54,5,330300,1.51377535573721,1,52,28.1587713717446,140.793856858723
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,55-59 years,55-59,5,284226,1.75916348258076,1,57,24.069470321073,120.347351605365
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,60-64 years,60-64,5,223539,2.23674616062522,1,62,20.2400880199447,101.200440099724
Methadone,T40.3,2011,2011,Male,M,Black or African American,2054-5,65-69 years,65-69,5,143830,3.47632621845234,1,67,16.6502815284512,83.251407642256
Methadone,T40.3,2011,2011,Male,M,White,2106-3,1-4 years,1-4,5,1275964,0.391860585408366,1,2.5,,
Methadone,T40.3,2011,2011,Male,M,White,2106-3,15-19 years,15-19,26,1713538,1.517328,1,17,59.906118084933,1557.55907020826
Methadone,T40.3,2011,2011,Male,M,White,2106-3,20-24 years,20-24,54,1670555,3.232459,1,22,55.1913987984765,2980.33553511773
Methadone,T40.3,2011,2011,Male,M,White,2106-3,25-29 years,25-29,73,1541736,4.734922,1,27,50.5686570810089,3691.51196691365
Methadone,T40.3,2011,2011,Male,M,White,2106-3,30-34 years,30-34,84,1505607,5.579145,1,32,45.9927274726265,3863.38910770063
Methadone,T40.3,2011,2011,Male,M,White,2106-3,35-39 years,35-39,72,1462992,4.921421,1,37,41.4408819963671,2983.74350373843
Methadone,T40.3,2011,2011,Male,M,White,2106-3,40-44 years,40-44,64,1577939,4.055924,1,42,36.9334609258006,2363.74149925124
Methadone,T40.3,2011,2011,Male,M,White,2106-3,45-49 years,45-49,80,1701789,4.700935,1,47,32.4736866990161,2597.89493592129
Methadone,T40.3,2011,2011,Male,M,White,2106-3,50-54 years,50-54,63,1776511,3.546277,1,52,28.1587713717446,1774.00259641991
Methadone,T40.3,2011,2011,Male,M,White,2106-3,55-59 years,55-59,37,1651483,2.240411,1,57,24.069470321073,890.570401879699
Methadone,T40.3,2011,2011,Male,M,White,2106-3,65-69 years,65-69,5,1172740,0.426351962071729,1,67,16.6502815284512,83.251407642256
Methadone,T40.3,2011,2011,Male,M,White,2106-3,75-79 years,75-79,5,649530,0.769787384724339,1,77,10.0780202604391,50.3901013021955
Methadone,T40.3,2012,2012,Female,F,American Indian or Alaska Native,1002-5,20-24 years,20-24,5,56848,8.79538418238109,1,22,59.9352050495816,299.676025247908
Methadone,T40.3,2012,2012,Female,F,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,46403,10.7751653987889,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2012,2012,Female,F,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,42512,11.7613850207,1,37,45.5381516293446,227.690758146723
Methadone,T40.3,2012,2012,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,42705,11.7082308863131,1,42,40.8365263221732,204.182631610866
Methadone,T40.3,2012,2012,Female,F,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,44752,11.1726850196639,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2012,2012,Female,F,American Indian or Alaska Native,1002-5,50-54 years,50-54,5,44926,11.12941281218,1,52,31.6580081521774,158.290040760887
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,20-24 years,20-24,5,432378,1.15639556129128,1,22,59.9352050495816,299.676025247908
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,25-29 years,25-29,5,345002,1.44926696077124,1,27,55.0931361669851,275.465680834925
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,30-34 years,30-34,5,332246,1.50490901320106,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,35-39 years,35-39,5,301466,1.65856182786782,1,37,45.5381516293446,227.690758146723
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,40-44 years,40-44,5,320749,1.558851313644,1,42,40.8365263221732,204.182631610866
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,45-49 years,45-49,5,343033,1.45758571332787,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,55-59 years,55-59,5,333480,1.49934029027228,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,60-64 years,60-64,5,272352,1.83585947597227,1,62,23.0873624933524,115.436812466762
Methadone,T40.3,2012,2012,Female,F,Black or African American,2054-5,70-74 years,70-74,5,143546,3.48320399035849,1,72,15.1930969969904,75.9654849849522
Methadone,T40.3,2012,2012,Female,F,White,2106-3,15-19 years,15-19,5,1561262,0.320253743446007,1,17,64.8199054204098,324.099527102049
Methadone,T40.3,2012,2012,Female,F,White,2106-3,25-29 years,25-29,40,1446130,2.766003,1,27,55.0931361669851,2203.7254466794
Methadone,T40.3,2012,2012,Female,F,White,2106-3,30-34 years,30-34,44,1449686,3.03514,1,32,50.2919366531769,2212.84521273978
Methadone,T40.3,2012,2012,Female,F,White,2106-3,35-39 years,35-39,43,1396437,3.079265,1,37,45.5381516293446,1958.14052006182
Methadone,T40.3,2012,2012,Female,F,White,2106-3,40-44 years,40-44,38,1525052,2.491718,1,42,40.8365263221732,1551.78800024258
Methadone,T40.3,2012,2012,Female,F,White,2106-3,45-49 years,45-49,38,1623707,2.340324,1,47,36.1899978913884,1375.21991987276
Methadone,T40.3,2012,2012,Female,F,White,2106-3,50-54 years,50-54,52,1765893,2.944686,1,52,31.6580081521774,1646.21642391322
Methadone,T40.3,2012,2012,Female,F,White,2106-3,55-59 years,55-59,38,1722572,2.206004,1,57,27.2793120597075,1036.61385826889
Methadone,T40.3,2012,2012,Female,F,White,2106-3,65-69 years,65-69,5,1346520,0.371327570329442,1,67,19.0472321072889,95.2361605364446
Methadone,T40.3,2012,2012,Female,F,White,2106-3,70-74 years,70-74,5,1039354,0.481068048037531,1,72,15.1930969969904,75.9654849849522
Methadone,T40.3,2012,2012,Female,F,White,2106-3,75-79 years,75-79,5,805378,0.620826493894792,1,77,11.6545398511616,58.2726992558082
Methadone,T40.3,2012,2012,Male,M,American Indian or Alaska Native,1002-5,15-19 years,15-19,5,64124,7.79739255193063,1,17,59.906118084933,299.530590424665
Methadone,T40.3,2012,2012,Male,M,American Indian or Alaska Native,1002-5,25-29 years,25-29,5,51629,9.68447965290825,1,27,50.5686570810089,252.843285405045
Methadone,T40.3,2012,2012,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,47555,10.5141415203449,1,32,45.9927274726265,229.963637363133
Methadone,T40.3,2012,2012,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,43244,11.562297659791,1,37,41.4408819963671,207.204409981836
Methadone,T40.3,2012,2012,Male,M,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,42818,11.6773319631931,1,42,36.9334609258006,184.667304629003
Methadone,T40.3,2012,2012,Male,M,Asian or Pacific Islander,A-PI,20-24 years,20-24,5,58029,8.61638146444019,1,22,55.1913987984765,275.956993992383
Methadone,T40.3,2012,2012,Male,M,Asian or Pacific Islander,A-PI,25-29 years,25-29,5,52273,9.56516748608268,1,27,50.5686570810089,252.843285405045
Methadone,T40.3,2012,2012,Male,M,Asian or Pacific Islander,A-PI,30-34 years,30-34,5,45694,10.9423556703287,1,32,45.9927274726265,229.963637363133
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,1-4 years,1-4,5,323262,1.5467329905773,1,2.5,,
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,15-19 years,15-19,5,423226,1.18140189874913,1,17,59.906118084933,299.530590424665
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,20-24 years,20-24,5,457751,1.0922969037752,1,22,55.1913987984765,275.956993992383
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,25-29 years,25-29,5,358840,1.39337866458589,1,27,50.5686570810089,252.843285405045
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,30-34 years,30-34,5,333350,1.49992500374981,1,32,45.9927274726265,229.963637363133
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,35-39 years,35-39,5,293484,1.70367038748279,1,37,41.4408819963671,207.204409981836
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,40-44 years,40-44,5,303722,1.64624228735488,1,42,36.9334609258006,184.667304629003
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,45-49 years,45-49,5,322021,1.55269376841883,1,47,32.4736866990161,162.36843349508
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,50-54 years,50-54,5,326069,1.53341777353873,1,52,28.1587713717446,140.793856858723
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,55-59 years,55-59,5,292108,1.71169567420269,1,57,24.069470321073,120.347351605365
Methadone,T40.3,2012,2012,Male,M,Black or African American,2054-5,60-64 years,60-64,5,228884,2.18451267891159,1,62,20.2400880199447,101.200440099724
Methadone,T40.3,2012,2012,Male,M,White,2106-3,< 1 year,< 1,5,306569,1.6309542060678,1,0.5,,
Methadone,T40.3,2012,2012,Male,M,White,2106-3,1-4 years,1-4,5,1259097,0.397109992319893,1,2.5,,
Methadone,T40.3,2012,2012,Male,M,White,2106-3,5-9 years,5-9,5,1617566,0.309106398131514,1,7,69.7745635778347,348.872817889174
Methadone,T40.3,2012,2012,Male,M,White,2106-3,20-24 years,20-24,44,1701300,2.586258,1,22,55.1913987984765,2428.42154713297
Methadone,T40.3,2012,2012,Male,M,White,2106-3,25-29 years,25-29,59,1536648,3.839526,1,27,50.5686570810089,2983.55076777953
Methadone,T40.3,2012,2012,Male,M,White,2106-3,30-34 years,30-34,70,1512676,4.627561,1,32,45.9927274726265,3219.49092308386
Methadone,T40.3,2012,2012,Male,M,White,2106-3,35-39 years,35-39,64,1439597,4.445689,1,37,41.4408819963671,2652.2164477675
Methadone,T40.3,2012,2012,Male,M,White,2106-3,40-44 years,40-44,67,1563178,4.28614,1,42,36.9334609258006,2474.54188202864
Methadone,T40.3,2012,2012,Male,M,White,2106-3,45-49 years,45-49,69,1648839,4.184763,1,47,32.4736866990161,2240.68438223211
Methadone,T40.3,2012,2012,Male,M,White,2106-3,50-54 years,50-54,50,1756984,2.845786,1,52,28.1587713717446,1407.93856858723
Methadone,T40.3,2012,2012,Male,M,White,2106-3,55-59 years,55-59,32,1671785,1.914122,1,57,24.069470321073,770.223050274334
Methadone,T40.3,2012,2012,Male,M,White,2106-3,60-64 years,60-64,32,1502970,2.129118,1,62,20.2400880199447,647.682816638231
Methadone,T40.3,2013,2013,Female,F,American Indian or Alaska Native,1002-5,25-29 years,25-29,5,49687,10.0629943445972,1,27,55.0931361669851,275.465680834925
Methadone,T40.3,2013,2013,Female,F,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,47448,10.5378519642556,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2013,2013,Female,F,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,42811,11.6792413164841,1,37,45.5381516293446,227.690758146723
Methadone,T40.3,2013,2013,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,42929,11.6471382981202,1,42,40.8365263221732,204.182631610866
Methadone,T40.3,2013,2013,Female,F,American Indian or Alaska Native,1002-5,55-59 years,55-59,5,40486,12.3499481302179,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2013,2013,Female,F,Asian or Pacific Islander,A-PI,30-34 years,30-34,5,53607,9.32714011229877,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,5-9 years,5-9,5,378912,1.31956760408749,1,7,74.7297171566532,373.648585783266
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,20-24 years,20-24,5,439975,1.13642820614808,1,22,59.9352050495816,299.676025247908
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,25-29 years,25-29,5,350136,1.42801654214362,1,27,55.0931361669851,275.465680834925
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,30-34 years,30-34,5,334365,1.49537182420409,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,40-44 years,40-44,5,315260,1.58599251411533,1,42,40.8365263221732,204.182631610866
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,45-49 years,45-49,5,334583,1.49439750375841,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,50-54 years,50-54,5,355803,1.40527201850462,1,52,31.6580081521774,158.290040760887
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,55-59 years,55-59,5,339800,1.47145379635079,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2013,2013,Female,F,Black or African American,2054-5,60-64 years,60-64,5,281018,1.77924545758635,1,62,23.0873624933524,115.436812466762
Methadone,T40.3,2013,2013,Female,F,White,2106-3,1-4 years,1-4,5,1182702,0.422760763066267,1,2.5,,
Methadone,T40.3,2013,2013,Female,F,White,2106-3,10-14 years,10-14,5,1555577,0.321424140367208,1,12,69.7648241327349,348.824120663675
Methadone,T40.3,2013,2013,Female,F,White,2106-3,15-19 years,15-19,5,1539248,0.324833944887374,1,17,64.8199054204098,324.099527102049
Methadone,T40.3,2013,2013,Female,F,White,2106-3,25-29 years,25-29,21,1445325,1.45296,1,27,55.0931361669851,1156.95585950669
Methadone,T40.3,2013,2013,Female,F,White,2106-3,30-34 years,30-34,35,1456284,2.403377,1,32,50.2919366531769,1760.21778286119
Methadone,T40.3,2013,2013,Female,F,White,2106-3,35-39 years,35-39,35,1386902,2.52361,1,37,45.5381516293446,1593.83530702706
Methadone,T40.3,2013,2013,Female,F,White,2106-3,40-44 years,40-44,44,1511474,2.911066,1,42,40.8365263221732,1796.80715817562
Methadone,T40.3,2013,2013,Female,F,White,2106-3,45-49 years,45-49,42,1571091,2.673302,1,47,36.1899978913884,1519.97991143831
Methadone,T40.3,2013,2013,Female,F,White,2106-3,50-54 years,50-54,43,1751487,2.455057,1,52,31.6580081521774,1361.29435054363
Methadone,T40.3,2013,2013,Female,F,White,2106-3,55-59 years,55-59,34,1739033,1.95511,1,57,27.2793120597075,927.496610030056
Methadone,T40.3,2013,2013,Female,F,White,2106-3,60-64 years,60-64,5,1581387,0.316178139822826,1,62,23.0873624933524,115.436812466762
Methadone,T40.3,2013,2013,Female,F,White,2106-3,65-69 years,65-69,5,1379445,0.36246461439202,1,67,19.0472321072889,95.2361605364446
Methadone,T40.3,2013,2013,Female,F,White,2106-3,75-79 years,75-79,5,820646,0.609276106871903,1,77,11.6545398511616,58.2726992558082
Methadone,T40.3,2013,2013,Male,M,American Indian or Alaska Native,1002-5,15-19 years,15-19,5,62329,8.02194804986443,1,17,59.906118084933,299.530590424665
Methadone,T40.3,2013,2013,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,43743,11.4304002926182,1,37,41.4408819963671,207.204409981836
Methadone,T40.3,2013,2013,Male,M,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,43262,11.5574869400398,1,47,32.4736866990161,162.36843349508
Methadone,T40.3,2013,2013,Male,M,American Indian or Alaska Native,1002-5,50-54 years,50-54,5,43335,11.5380177685474,1,52,28.1587713717446,140.793856858723
Methadone,T40.3,2013,2013,Male,M,American Indian or Alaska Native,1002-5,55-59 years,55-59,5,37403,13.3679116648397,1,57,24.069470321073,120.347351605365
Methadone,T40.3,2013,2013,Male,M,Asian or Pacific Islander,A-PI,20-24 years,20-24,5,58380,8.56457690990065,1,22,55.1913987984765,275.956993992383
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,1-4 years,1-4,5,317526,1.57467419990804,1,2.5,,
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,20-24 years,20-24,5,468458,1.06733154306256,1,22,55.1913987984765,275.956993992383
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,25-29 years,25-29,5,367390,1.36095157734288,1,27,50.5686570810089,252.843285405045
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,30-34 years,30-34,5,336157,1.4874002326294,1,32,45.9927274726265,229.963637363133
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,35-39 years,35-39,5,294216,1.69943171003616,1,37,41.4408819963671,207.204409981836
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,40-44 years,40-44,5,298742,1.67368498570673,1,42,36.9334609258006,184.667304629003
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,45-49 years,45-49,5,312724,1.59885394149474,1,47,32.4736866990161,162.36843349508
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,50-54 years,50-54,5,322225,1.55171076111413,1,52,28.1587713717446,140.793856858723
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,55-59 years,55-59,5,297479,1.68079091297201,1,57,24.069470321073,120.347351605365
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,60-64 years,60-64,5,235498,2.12316028161598,1,62,20.2400880199447,101.200440099724
Methadone,T40.3,2013,2013,Male,M,Black or African American,2054-5,65-69 years,65-69,5,162469,3.07751017117112,1,67,16.6502815284512,83.251407642256
Methadone,T40.3,2013,2013,Male,M,White,2106-3,15-19 years,15-19,5,1647005,0.303581349176232,1,17,59.906118084933,299.530590424665
Methadone,T40.3,2013,2013,Male,M,White,2106-3,20-24 years,20-24,36,1710850,2.104217,1,22,55.1913987984765,1986.89035674516
Methadone,T40.3,2013,2013,Male,M,White,2106-3,25-29 years,25-29,44,1540613,2.856006,1,27,50.5686570810089,2225.02091156439
Methadone,T40.3,2013,2013,Male,M,White,2106-3,30-34 years,30-34,69,1521292,4.535618,1,32,45.9927274726265,3173.49819561123
Methadone,T40.3,2013,2013,Male,M,White,2106-3,35-39 years,35-39,66,1431495,4.610564,1,37,41.4408819963671,2735.09821176023
Methadone,T40.3,2013,2013,Male,M,White,2106-3,40-44 years,40-44,43,1545081,2.783026,1,42,36.9334609258006,1588.13881980942
Methadone,T40.3,2013,2013,Male,M,White,2106-3,45-49 years,45-49,40,1600551,2.499139,1,47,32.4736866990161,1298.94746796064
Methadone,T40.3,2013,2013,Male,M,White,2106-3,50-54 years,50-54,50,1739324,2.87468,1,52,28.1587713717446,1407.93856858723
Methadone,T40.3,2013,2013,Male,M,White,2106-3,55-59 years,55-59,45,1689184,2.664008,1,57,24.069470321073,1083.12616444828
Methadone,T40.3,2013,2013,Male,M,White,2106-3,60-64 years,60-64,24,1507315,1.592235,1,62,20.2400880199447,485.762112478673
Methadone,T40.3,2013,2013,Male,M,White,2106-3,65-69 years,65-69,5,1286923,0.388523633504102,1,67,16.6502815284512,83.251407642256
Methadone,T40.3,2013,2013,Male,M,White,2106-3,70-74 years,70-74,5,967727,0.516674640678621,1,72,13.2264780885543,66.1323904427715
Methadone,T40.3,2014,2014,Female,F,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,48173,10.3792580906317,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2014,2014,Female,F,American Indian or Alaska Native,1002-5,50-54 years,50-54,5,46032,10.8620090371915,1,52,31.6580081521774,158.290040760887
Methadone,T40.3,2014,2014,Female,F,American Indian or Alaska Native,1002-5,55-59 years,55-59,5,41683,11.9952978432454,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,25-29 years,25-29,5,362528,1.3792038132227,1,27,55.0931361669851,275.465680834925
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,30-34 years,30-34,5,332745,1.50265218109964,1,32,50.2919366531769,251.459683265884
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,35-39 years,35-39,5,306057,1.63368261467635,1,37,45.5381516293446,227.690758146723
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,40-44 years,40-44,5,311077,1.60731908820003,1,42,40.8365263221732,204.182631610866
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,45-49 years,45-49,5,323607,1.54508400621742,1,47,36.1899978913884,180.949989456942
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,50-54 years,50-54,5,351942,1.42068863619574,1,52,31.6580081521774,158.290040760887
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,55-59 years,55-59,5,343817,1.45426200565999,1,57,27.2793120597075,136.396560298538
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,60-64 years,60-64,5,289829,1.72515517770824,1,62,23.0873624933524,115.436812466762
Methadone,T40.3,2014,2014,Female,F,Black or African American,2054-5,65-69 years,65-69,5,217627,2.29750904069808,1,67,19.0472321072889,95.2361605364446
Methadone,T40.3,2014,2014,Female,F,White,2106-3,< 1 year,< 1,5,288317,1.73420228429125,1,0.5,,
Methadone,T40.3,2014,2014,Female,F,White,2106-3,15-19 years,15-19,5,1530615,0.326666078667725,1,17,64.8199054204098,324.099527102049
Methadone,T40.3,2014,2014,Female,F,White,2106-3,25-29 years,25-29,20,1465563,1.364663,1,27,55.0931361669851,1101.8627233397
Methadone,T40.3,2014,2014,Female,F,White,2106-3,30-34 years,30-34,28,1456520,1.92239,1,32,50.2919366531769,1408.17422628895
Methadone,T40.3,2014,2014,Female,F,White,2106-3,35-39 years,35-39,37,1390814,2.660313,1,37,45.5381516293446,1684.91161028575
